Sector,Industry,KPI Name,Specification ID,Scope,Specification,Cluster,ESG Category
Oil & Gas,Exploration & Production,Energy Efficiency,E01-01,I,"Energy consumption, total",0,Environmental
Oil & Gas,Exploration & Production,GHG Emissions,E02-01,I,"GHG emissions, total (scope I,II)",0,Environmental
Oil & Gas,Exploration & Production,Staff turnover,S01-01,I,Percentage of FTE leaving p.a./total FTE,2,Governance
Oil & Gas,Exploration & Production,Training & qualification,S02-02,I,Average expenses on training per FTE p.a,2,Governance
Oil & Gas,Exploration & Production,Maturity of workforce,S03-01,I,"Age structure/distribution (number of FTEs per age group, 10-year intervals)",2,Governance
Oil & Gas,Exploration & Production,Remuneration,S08-02,I,"Total amount of bonuses, incentives and stock options paid out in â‚¬,$",2,Governance
Oil & Gas,Exploration & Production,Remuneration,S08-03,I,"Total number of FTEs who receive 90 % of total amount of bonuses, incentivesand stock options",2,Governance
Oil & Gas,Exploration & Production,Litigation risks,V01-01,I,"Expenses and fines on filings, law suits related to anti-competitivebehavior, anti-trust and monopoly practices",2,Governance
Oil & Gas,Exploration & Production,Corruption,V02-01,I,Percentage of revenues in regions with Transparency International corruptionindex below 6.0,2,Governance
Oil & Gas,Exploration & Production,Revenues from new,V03-02,I,Percentage of new products or modified products introduced lessproducts than 12 months ago,2,Governance
Oil & Gas,Exploration & Production,Innovation,S08-02,I,"Total amount of bonuses, incentives and stock options paid out in â‚¬,$",2,Governance
Oil & Gas,Exploration & Production,Innovation,S08-03,I,"Total number of FTEs who receive 90 % of total amount of bonuses, incentivesand stock options",2,Governance
Oil & Gas,Exploration & Production,Emissions to Air,E03-01,II,"Total CO²,NOx, SOx, VOC emissions in million tonnes",0,Environmental
Oil & Gas,Exploration & Production,Remediation,E12-01,II,"Expenditure for remediation, reclamation and decommissioning total in monetaryterms i.e. currencyE12-03 II Environmental spending for R&D, site rehabilitation and environmental monitoringtotal in monetary terms i.e. currency",2,Governance
Oil & Gas,Exploration & Production,Contributions to,G01-01,II,Contributions to political parties as a percentage of total revenuespolitical parties,2,Governance
Oil & Gas,Exploration & Production,Dimensions of pending,G02-01,II,"Amount in monetary terms i.e. currency in controversy, dispute from legallegal proceedings proceedings",1,Social
Oil & Gas,Exploration & Production,Fatalities & Injuries,S04-03,II,Total number of fatalities in relation to FTEsS04-04 II Total number of injuries in relation to FTEs,1,Social
Oil & Gas,Exploration & Production,Maintenance & safety,S09-02,II,"Total spendings in monetary terms i.e. currency on maintenance and safety ofproduction sites, plants ect.",1,Social
Oil & Gas,Exploration & Production,Environmental CapEx,V12-02,II,CapEx allocation to investments on ESG relevant aspects of business as definedby the company (refered to Introduction 1.8.1. KPIs & Definitions),0,Environmental
Oil & Gas,Exploration & Production,Utilisation,V13-01,II,Capacity utilisation as a percentage of total available facilities,2,Governance
Oil & Gas,Exploration & Production,Supply Chain,V28-01,II,Total number of suppliersV28-02 II Percentage of sourcing from 3 biggest external suppliersV28-03 II Turnover of suppliers in percent,1,Social
Oil & Gas,Exploration & Production,Emissions to Air,E03-04,III,TOP 2 components of emissions to air by environmental importance (according toTRI; PRTR; and EPER) Rank 1E03-05 III TOP 2 components of emissions to air by environmental importance (according toTRI; PRTR; and EPER) Rank 2,0,Environmental
Oil & Gas,Exploration & Production,Emissions to Water,E03-09,III,TOP 2 components of emissions to water by environmental importance (accordingto TRI; PRTR; and EPER) Rank 1E03-10 III TOP 2 components of emissions to water by environmental importance (accordingto TRI; PRTR; and EPER) Rank 2,0,Environmental
Oil & Gas,Exploration & Production,Remediation,E12-05,III,"Total amount of reserves for future environmental remediation, emissions,accident costs in monetary terms i.e. currency",2,Governance
Oil & Gas,Exploration & Production,Leakages,E24-02,III,Volume of leakages in barrels or cubic metresE24-03 III Total amount of costs incurred through leakages including remediation and fines,2,Governance
